Code,Disease_Name,Symptoms,Search_Quality,Core_Terms
SK3Z,"Paroxysmal disorders (TM2),","Paroxysmal attacks or paroxysms are a sudden recurrence or intensification of symptoms, such as a spasm or seizure. These short, frequent symptoms can be observed in various clinical conditions. They are usually associated with multiple sclerosis or pertussis, but they may also be observed in other disorders such as encephalitis, head trauma, stroke, autism, asthma, trigeminal neuralgia, breath-holding spells, epilepsy, malaria, tabes dorsalis, Behçet's disease, and paroxysmal nocturnal hemoglobinuria (PNH). (Source: Paroxysmal attack)",Wikipedia match,"paroxysmal, (tm2),"
SK50,Scalp affliction disorder,"The scalp is the area of the head where head hair grows. It is made up of skin, layers of connective and fibrous tissues, and the membrane of the skull. (Source: Scalp)",Wikipedia match,"scalp, affliction"
SK51,Cervicobrachial pain disorder,"Pain is a distressing feeling often caused by intense or damaging stimuli. The International Association for the Study of Pain defines pain as ""an unpleasant sensory and emotional experience associated with, or resembling that associated with, actual or potential tissue damage. (Source: Pain)",Wikipedia match,"cervicobrachial, pain"
SK52,Tremor disorder,"In some people, a tremor is a symptom of another neurological disorder. (Source: Tremor)",Wikipedia match,tremor
SK53,Stammering disorder,"Stuttering, also known as stammering, is a speech disorder characterized externally by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses called blocks in which the person who stutters is unable to produce sounds. Almost 80 million people worldwide stutter, about 1% of the world's population, with a prevalence among males at least twice that of females. (Source: Stuttering)",Wikipedia match,stammering
SK54,Numbness disorder,"Hypoesthesia or numbness is a common side effect of various medical conditions that manifests as a reduced sense of touch or sensation, or a partial loss of sensitivity to sensory stimuli. (Source: Hypoesthesia)",Wikipedia match,numbness
SK55,Weakness of thighs due to vata disorder,"Weakness is a symptom of many different medical conditions. The causes are many and can be divided into conditions that have true or perceived muscle weakness. True muscle weakness is a primary symptom of a variety of skeletal muscle diseases, including muscular dystrophy and inflammatory myopathy. (Source: Weakness)",Wikipedia match,"weakness, thighs"
SK5Y,"head, brain, nerve and movement disorders","PubMed findings: Clinical and genetic characterization of Weaver syndrome: A case report of an EZH2 mutation and review of the literature. | USP44, ZNF454, and GPRC5B ctDNA Methylation Markers in Breast Cancer: Limited Clinical Relevance for Disease Monitoring and Tumor Characteristics.",PubMed match,"head,, brain,"
SK5Z,"Head, brain, nerve and movement disorders (TM2),","PubMed findings: Clinical and genetic characterization of Weaver syndrome: A case report of an EZH2 mutation and review of the literature. | USP44, ZNF454, and GPRC5B ctDNA Methylation Markers in Breast Cancer: Limited Clinical Relevance for Disease Monitoring and Tumor Characteristics.",PubMed match,"head,, brain,"
,"Eye, ear, nose, throat and neck disorders",PubMed findings: [Analysis of auditory-vestibular function and inner ear imaging features at different stages of Meniere's disease].,PubMed match,"eye,, ear,"
,- - - - Eye disorders (TM2),Skipped - Not a specific disease,Skipped,
SK60,Ocular hyperemia disorder,"Clinically, hyperaemia in tissues manifests as erythema because of the engorgement of vessels with oxygenated blood. (Source: Hyperaemia)",Wikipedia match,"ocular, hyperemia"
SK61,Prolapse iris disorder,"In medicine, prolapse is a condition in which organs fall down or slip out of place. It is used for organs protruding through the vagina, rectum, or for the misalignment of the valves of the heart. (Source: Prolapse)",Wikipedia match,"prolapse, iris"
SK62,Blepharitis disorder,"Blepharitis, sometimes known as granulated eyelids, is one of the most common ocular conditions characterized by inflammation, scaling, reddening, and crusting of the eyelid. This condition may also cause swelling, burning, itching, or a grainy sensation when introducing foreign objects or substances to the eye. (Source: Blepharitis)",Wikipedia match,blepharitis
SK63,Day blindness disorder,"Hemeralopia or day blindness is the inability to see clearly in bright light and is the exact opposite of nyctalopia, the inability to see clearly in low light. It is also called heliophobia. (Source: Hemeralopia)",Wikipedia match,"day, blindness"
SK64,Night blindness disorder,It is a symptom of several eye diseases. (Source: Nyctalopia),Wikipedia match,"night, blindness"
SK65,Cataract disorder,"Symptoms may include faded colours, blurry or double vision, halos around light, trouble with bright lights, and difficulty seeing at night. (Source: Cataract)",Wikipedia match,cataract
SK66,Conjunctivitis disorder,"Conjunctivitis, also known as pink eye, is inflammation of the conjunctiva, the thin, clear layer that covers the white surface of the eye and the inner eyelid. It makes the eye appear pink or reddish. (Source: Conjunctivitis)",Wikipedia match,conjunctivitis
SK67,Corneal disorder,"The cornea is the transparent front part of the eyeball which covers the iris, pupil, and anterior chamber. Along with the anterior chamber and lens, the cornea refracts light, accounting for approximately two-thirds of the eye's total optical power. (Source: Cornea)",Wikipedia match,corneal
SK68,Tear sac swelling disorder,"The lacrimal sac or lachrymal sac is the upper dilated end of the nasolacrimal duct, and is lodged in a deep groove formed by the lacrimal bone and frontal process of the maxilla. It connects the lacrimal canaliculi, which drain tears from the eye's surface, and the nasolacrimal duct, which conveys this fluid into the nasal cavity. (Source: Lacrimal sac)",Wikipedia match,"tear, sac"
SK69,Eyelid cyst disorder,"An eyelid is a thin fold of skin that covers and protects an eye. The levator palpebrae superioris muscle retracts the eyelid, exposing the cornea to the outside, giving vision. (Source: Eyelid)",Wikipedia match,"eyelid, cyst"
SK6A,Dry eye disorder,"Symptoms include dryness in the eye, irritation, redness, discharge, blurred vision, and easily fatigued eyes. Symptoms range from mild and occasional to severe and continuous. (Source: Dry eye syndrome)",Wikipedia match,"dry, eye"
SK6B,Ectropion disorder,"Ectropion is a medical condition in which the lower eyelid turns outwards. It is one of the notable aspects of newborns exhibiting congenital harlequin-type ichthyosis, but ectropion can occur due to any weakening of tissue of the lower eyelid. (Source: Ectropion)",Wikipedia match,ectropion
SK6C,Pterygium disorder,"A pterygium is any wing-like triangular membrane occurring in the neck, eyes, knees, elbows, ankles or digits. (Source: Pterygium)",Wikipedia match,pterygium
SK6D,Lacrimation disorder,"The different types of tears—basal, reflex, and emotional—vary significantly in composition. (Source: Tears)",Wikipedia match,lacrimation
SK6E,Trichiasis disorder,"Trichiasis is a medical term for abnormally positioned eyelashes that grow back toward the eye, touching the cornea or conjunctiva. This can be caused by infection, inflammation, autoimmune conditions, congenital defects, eyelid agenesis and trauma such as burns or eyelid injury. (Source: Trichiasis)",Wikipedia match,trichiasis
SK6F,Eyelid tumour disorder,"An eyelid is a thin fold of skin that covers and protects an eye. The levator palpebrae superioris muscle retracts the eyelid, exposing the cornea to the outside, giving vision. (Source: Eyelid)",Wikipedia match,"eyelid, tumour"
SK6G,Hard swelling of eyelid disorder,PubMed findings: Effects of Gua Sha therapy on thoracolumbar fascia thickness and clinical outcomes of patients with chronic nonspecific low back pain: A randomized controlled trial. | Impact of centre experience on complete clinical and haemodynamic response after alcohol septal ablation for hypertrophic obstructive cardiomyopathy.,PubMed match,"hard, swelling"
SK6H,Eyelid wart disorder,"An eyelid is a thin fold of skin that covers and protects an eye. The levator palpebrae superioris muscle retracts the eyelid, exposing the cornea to the outside, giving vision. (Source: Eyelid)",Wikipedia match,"eyelid, wart"
SK6J,Excessive blinking disorder,"Blinking is a bodily function; it is a semi-autonomic rapid closing of the eyelid. A single blink is determined by the forceful closing of the eyelid or inactivation of the levator palpebrae superioris and the activation of the palpebral portion of the orbicularis oculi, not the full open and close. (Source: Blinking)",Wikipedia match,"excessive, blinking"
SK6K,Eyelid haematoma disorder,"A hematoma, also spelled haematoma, or blood suffusion is a localized bleeding outside of blood vessels, due to either disease or trauma including injury or surgery and may involve blood continuing to seep from broken capillaries. A hematoma is benign and is initially in liquid form spread among the tissues including in sacs between tissues where it may coagulate and solidify before blood is reabsorbed into blood vessels. (Source: Hematoma)",Wikipedia match,"eyelid, haematoma"
SK6L,Ptosis disorder,PubMed findings: Efficacy of Oxymetazoline 0.1% in Acquired Blepharoptosis: A Systematic Review and Meta-Analysis of Randomized Clinical Trials.,PubMed match,ptosis
SK6M,Sticky eyelids disorder,"An eyelid is a thin fold of skin that covers and protects an eye. The levator palpebrae superioris muscle retracts the eyelid, exposing the cornea to the outside, giving vision. (Source: Eyelid)",Wikipedia match,"sticky, eyelids"
SK6N,Chalazion disorder,"A chalazion or meibomian cyst is not a cyst but a granuloma in the eyelid that results from a blocked meibomian gland. It typically occurs in the middle of the eyelid, red, and not painful. (Source: Chalazion)",Wikipedia match,chalazion
SK6P,Stye disorder,"A stye, also known as a hordeolum, is a bacterial infection of an oil gland in the eyelid. This results in a red tender bump at the edge of the eyelid. (Source: Stye)",Wikipedia match,stye
SK6Q,Ptilosis disorder,PubMed findings: Visual processing of social and non-social stimuli in schizophrenia: investigation of the links to positive and negative symptoms.,PubMed match,ptilosis
SK6R,Non-inflammatory swelling of eye disorder,"PubMed findings: Low clinical activity score, 'progressive' thyroid eye disease: presentations of 1439 patients from a tertiary centre in Hong Kong.",PubMed match,"non-inflammatory, swelling"
SK6S,Periorbital polyp disorder,The periorbita is the area around the orbit. Sometimes it refers specifically to the layer of tissue surrounding the orbit that consists of periosteum. (Source: Periorbita),Wikipedia match,"periorbital, polyp"
SK6T,Phlyctenular nodule disorder,PubMed findings: Meibomitis-related keratoconjunctivitis: implications and clinical significance of meibomian gland inflammation. | [Clinical features of 10 cases with phlyctenular keratitis].,PubMed match,"phlyctenular, nodule"
SK6U,Trachoma disorder,The infection causes a roughening of the inner surface of the eyelids. (Source: Trachoma),Wikipedia match,trachoma
SK6V,Corneal opacity disorder,"Alterations in the spacing of collagen fibrils in a variety of conditions including corneal edema, scars, and macular corneal dystrophy is clinically manifested as corneal opacity. (Source: Corneal opacity)",Wikipedia match,"corneal, opacity"
SK6W,Panopthalmitis disorder,No reliable medical information found from available sources,No match,panopthalmitis
SK6X,Phthisis bulbi disorder,"It may result from severe eye disease, inflammation or injury, or it may represent a complication of eye surgery. Treatment options include insertion of a prosthesis, which may be preceded by enucleation of the eye. (Source: Phthisis bulbi)",Wikipedia match,"phthisis, bulbi"
SK7Y,eye disorders,This is a partial list of human eye diseases and disorders. (Source: Eye disease),Wikipedia match,eye
SK7Z,"Eye disorders (TM2),",PubMed findings: Visual processing of social and non-social stimuli in schizophrenia: investigation of the links to positive and negative symptoms. | Clinical profile and outcomes of pediatric uveitis: A retrospective analysis.,PubMed match,"eye, (tm2),"
,- - - - Ear disorders (TM2),Skipped - Not a specific disease,Skipped,
SK80,Ear abscess disorder,"Signs and symptoms of abscesses include redness, pain, warmth, and swelling. (Source: Abscess)",Wikipedia match,"ear, abscess"
SK81,Deafness disorder,"It later came to be used in a cultural context to refer to those who primarily communicate with a deafness aid or through sign language regardless of hearing ability, often capitalized as Deaf and referred to as ""big D Deaf"" in speech and sign. The two definitions overlap but are not identical, as hearing loss includes cases that are not severe enough to impact spoken language comprehension, while cultural Deafness includes hearing people who use sign language, such as children of deaf adults. (Source: Deafness)",Wikipedia match,deafness
SK82,Otorrhoea disorder,PubMed findings: Subacute Mastoiditis Without Verified Nontuberculous Mycobacteria-Still a Clinical Challenge.,PubMed match,otorrhoea
SK83,Pruritus of ear disorder,"An itch is a sensation that causes a strong desire or reflex to scratch. Itches have resisted many attempts to be classified as any one type of sensory experience. Itches have many similarities to pain, and while both are unpleasant sensory experiences, their behavioral response patterns are different. (Source: Itch)",Wikipedia match,"pruritus, ear"
SK84,Dysacousia disorder,PubMed findings: Is Transient Mixed Hearing Loss a Distinct Audiometric Feature in Patients With Inner Ear Schwannoma? | [Clinical characteristics and influencing factors of vestibular migraine patients with sleep disorders].,PubMed match,dysacousia
SK85,Impacted cerumen disorder,"Earwax, also known by the medical term cerumen, is a waxy substance secreted in the ear canal of humans and other mammals. Earwax can be many colors, including brown, orange, red, yellowish, and gray. (Source: Earwax)",Wikipedia match,"impacted, cerumen"
SK86,Tinnitus disorder,Tinnitus is a condition when a person perceives hearing a ringing sound or a different variety of sound when no corresponding external sound is present and other people cannot hear it. (Source: Tinnitus),Wikipedia match,tinnitus
SK87,Otalgia disorder,"Ear pain, also known as earache or otalgia, is pain in the ear. Primary ear pain is pain that originates from the ear. (Source: Ear pain)",Wikipedia match,otalgia
SK88,Otitis disorder,"When infection is present, it may be viral or bacterial. When inflammation is present due to fluid build up in the middle ear and infection is not present it is considered Otitis media with effusion. The most common aetiology of acute otitis externa is bacterial infection, while chronic cases are often associated with underlying skin diseases such as eczema or psoriasis. (Source: Otitis)",Wikipedia match,otitis
SK89,Pustules of pinna disorder,"A skin condition, also known as cutaneous condition, is any medical condition that affects the integumentary system—the organ system that encloses the body and includes skin, nails, and related muscle and glands. (Source: Skin condition)",Wikipedia match,"pustules, pinna"
SK8Y,ear disorders,The middle ear includes the tympanic cavity and the three ossicles. (Source: Ear),Wikipedia match,ear
SK8Z,"Ear disorders (TM2),",PubMed findings: Genetic diagnosis and clinical characteristics analysis of cardiospondylocarpofacial syndrome in a Chinese family. | Is Transient Mixed Hearing Loss a Distinct Audiometric Feature in Patients With Inner Ear Schwannoma?,PubMed match,"ear, (tm2),"
,- - - - Nose disorders (TM2),Skipped - Not a specific disease,Skipped,
SK90,Epistaxis disorder,"Rarely, bleeding may be so significant that low blood pressure occurs. (Source: Nosebleed)",Wikipedia match,epistaxis
SK91,Anosmia disorder,"Anosmia, also known as smell blindness, is the lack of ability to detect one or more smells. Anosmia may be temporary or permanent. (Source: Anosmia)",Wikipedia match,anosmia
SK92,Dry nose disorder,"A nose is a sensory organ and respiratory structure in vertebrates. It consists of a nasal cavity inside the head, and an external nose on the face. (Source: Nose)",Wikipedia match,"dry, nose"
SK93,Atrophic rhinitis disorder,"Chronic atrophic rhinitis is a chronic inflammation of the nose characterised by atrophy of nasal mucosa, including the glands, turbinate bones and the nerve elements supplying the nose. Chronic atrophic rhinitis may be primary and secondary. (Source: Chronic atrophic rhinitis)",Wikipedia match,"atrophic, rhinitis"
SK94,Nasal polyp disorder,"Symptoms include trouble breathing through the nose, loss of smell, decreased taste, post nasal drip, and a runny nose. Complications may include sinusitis and broadening of the nose. (Source: Nasal polyp)",Wikipedia match,"nasal, polyp"
SK95,Rhinitis disorder,"Common symptoms are a stuffy nose, runny nose, sneezing, and post-nasal drip. (Source: Rhinitis)",Wikipedia match,rhinitis
SK96,Coryza and catarrh disorder,"It is a symptom usually associated with the common cold, pharyngitis, and chesty coughs, but it can also be found in patients with adenoiditis, otitis media, sinusitis or tonsillitis. (Source: Catarrh)",Wikipedia match,"coryza, catarrh"
SK97,Nasal obstruction disorder,"Nasal congestion is the partial or complete blockage of nasal passages, leading to impaired nasal breathing, usually due to membranes lining the nose becoming swollen from inflammation of blood vessels. (Source: Nasal congestion)",Wikipedia match,"nasal, obstruction"
SK98,Ozaena disorder,"Chronic atrophic rhinitis is a chronic inflammation of the nose characterised by atrophy of nasal mucosa, including the glands, turbinate bones and the nerve elements supplying the nose. Chronic atrophic rhinitis may be primary and secondary. (Source: Chronic atrophic rhinitis)",Wikipedia match,ozaena
SK99,Sinusitis disorder,"Sinusitis, also known as rhinosinusitis, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever. (Source: Sinusitis)",Wikipedia match,sinusitis
SK9A,Adenoiditis disorder,Adenoiditis is the inflammation of the adenoid tissue usually caused by an infection. Adenoiditis is treated using medication or surgical intervention. (Source: Adenoiditis),Wikipedia match,adenoiditis
SK9Y,nose disorders,"A nose is a sensory organ and respiratory structure in vertebrates. It consists of a nasal cavity inside the head, and an external nose on the face. (Source: Nose)",Wikipedia match,nose
SK9Z,"Nose disorders (TM2),","A nose is a sensory organ and respiratory structure in vertebrates. It consists of a nasal cavity inside the head, and an external nose on the face. (Source: Nose)",Wikipedia match,"nose, (tm2),"
,Neck and throat disorders,"In vertebrate anatomy, the throat is the front part of the neck, internally positioned in front of the vertebrae. It contains the pharynx and larynx. (Source: Throat)",Wikipedia match,"neck, throat"
SL00,Throat tumour disorder,"In vertebrate anatomy, the throat is the front part of the neck, internally positioned in front of the vertebrae. It contains the pharynx and larynx. (Source: Throat)",Wikipedia match,"throat, tumour"
SL01,Retropharyngeal abscess disorder,"RPA is a relatively uncommon illness, and therefore may not receive early diagnosis in children presenting with stiff neck, malaise, difficulty swallowing, or other symptoms listed below. (Source: Retropharyngeal abscess)",Wikipedia match,"retropharyngeal, abscess"
SL02,Hoarseness of voice disorder,"A hoarse voice can be associated with a feeling of unease or scratchiness in the throat. Hoarseness is often a symptom of problems in the vocal folds of the larynx. A number of other causes for losing one's voice exist, and treatment is generally by resting the voice and treating the underlying cause. (Source: Hoarse voice)",Wikipedia match,"hoarseness, voice"
SL03,Indistinct- abnormal voice disorder,"In psychology, abnormality is a behavioral characteristic assigned to those with conditions that are regarded as dysfunctional. (Source: Abnormality (behavior))",Wikipedia match,"indistinct-, abnormal"
SL04,Severe throat inflammation disorder,"In vertebrate anatomy, the throat is the front part of the neck, internally positioned in front of the vertebrae. It contains the pharynx and larynx. (Source: Throat)",Wikipedia match,"severe, throat"
SL05,Pharyngitis disorder,"Other symptoms may include a runny nose, cough, headache, difficulty swallowing, swollen lymph nodes, and a hoarse voice. Symptoms usually last 3–5 days, but can be longer depending on cause. Complications can include sinusitis and acute otitis media. (Source: Pharyngitis)",Wikipedia match,pharyngitis
SL06,Tonsillitis disorder,"Symptoms may include sore throat, fever, enlargement of the tonsils, trouble swallowing, and enlarged lymph nodes around the neck. Complications include peritonsillar abscess (quinsy). (Source: Tonsillitis)",Wikipedia match,tonsillitis
SL07,Speech disorder,"For many children and adolescents, this can present as issues with academics. (Source: Speech disorder)",Wikipedia match,speech
SL08,Lymphadenopathy in throat region disorder,"In clinical practice, the distinction between lymphadenopathy and lymphadenitis is rarely made and the words are usually treated as synonymous. (Source: Lymphadenopathy)",Wikipedia match,"lymphadenopathy, throat"
SL09,Laryngitis disorder,"Symptoms often include a hoarse voice and may include fever, cough, pain in the front of the neck, and trouble swallowing. (Source: Laryngitis)",Wikipedia match,laryngitis
SL0Y,neck and throat disorders,"In vertebrate anatomy, the throat is the front part of the neck, internally positioned in front of the vertebrae. It contains the pharynx and larynx. (Source: Throat)",Wikipedia match,"neck, throat"
SL0Z,"Neck and throat disorders (TM2),","In vertebrate anatomy, the throat is the front part of the neck, internally positioned in front of the vertebrae. It contains the pharynx and larynx. (Source: Throat)",Wikipedia match,"neck, throat"
SL20,Excessive sneezing disorder,"A sneeze is a semi-autonomous, convulsive expulsion of air from the lungs through the nose and mouth, usually caused by foreign particles irritating the nasal mucosa. A sneeze expels air forcibly from the mouth and nose in an explosive, spasmodic involuntary action. (Source: Sneeze)",Wikipedia match,"excessive, sneezing"
SL21,Hypernasal speech disorder,Hypernasal speech is a disorder that causes abnormal resonance in a human's voice due to increased airflow through the nose during speech. (Source: Hypernasal speech),Wikipedia match,"hypernasal, speech"
SL2Y,"eye, ear, nose, throat and neck disorders",PubMed findings: [Analysis of auditory-vestibular function and inner ear imaging features at different stages of Meniere's disease].,PubMed match,"eye,, ear,"
SL2Z,"Eye, ear, nose, throat and neck disorders (TM2),",No reliable medical information found from available sources,No match,"eye,, ear,"
,Respiratory system disorders,"The respiratory system is a biological system consisting of specific organs and structures used for gas exchange in animals and plants. The anatomy and physiology that make this happen varies greatly, depending on the size of the organism, the environment in which it lives and its evolutionary history. (Source: Respiratory system)",Wikipedia match,respiratory system
SL40,Bronchial asthma disorder,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath. A sudden worsening of asthma symptoms sometimes called an 'asthma attack' or an 'asthma exacerbation' can occur when allergens, pollen, dust, or other particles, are inhaled into the lungs, causing the bronchioles to constrict and produce mucus, which then restricts oxygen flow to the alveoli. (Source: Asthma)",Wikipedia match,"bronchial, asthma"
SL41,Cough disorder,"A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes. As a protective reflex, coughing can be repetitive with the cough reflex following three phases: an inhalation, a forced exhalation against a closed glottis, and a violent release of air from the lungs following opening of the glottis, usually accompanied by a distinctive sound. (Source: Cough)",Wikipedia match,cough
SL42,Dyspnoea disorder,"Shortness of breath (SOB), known as dyspnea or dyspnoea, is an uncomfortable feeling of not being able to breathe well enough. The American Thoracic Society defines it as ""a subjective experience of breathing discomfort that consists of qualitatively distinct sensations that vary in intensity"", and recommends evaluating dyspnea by assessing the intensity of its distinct sensations, the degree of distress and discomfort involved, and its burden or impact on the patient's activities of daily living. Distinct sensations include effort/work to breathe, chest tightness or pain, and ""air hunger"". (Source: Shortness of breath)",Wikipedia match,dyspnoea
SL4Y,respiratory system disorders,"The respiratory system is a biological system consisting of specific organs and structures used for gas exchange in animals and plants. The anatomy and physiology that make this happen varies greatly, depending on the size of the organism, the environment in which it lives and its evolutionary history. (Source: Respiratory system)",Wikipedia match,respiratory system
SL4Z,"Respiratory system disorders (TM2),","The respiratory system is a biological system consisting of specific organs and structures used for gas exchange in animals and plants. The anatomy and physiology that make this happen varies greatly, depending on the size of the organism, the environment in which it lives and its evolutionary history. (Source: Respiratory system)",Wikipedia match,"respiratory system, (tm2),"
,"Heart, blood and circulatory disorders","Blood is a body fluid in the circulatory system of humans and other vertebrates that delivers necessary substances such as nutrients and oxygen to the cells, and transports metabolic waste products away from those same cells. (Source: Blood)",Wikipedia match,"heart,, blood"
,- - - - Heart disorders (TM2),Skipped - Not a specific disease,Skipped,
SL60,Slow heart disorder,The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. (Source: Heart),Wikipedia match,"slow, heart"
SL61,Heart pain disorder,The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. (Source: Heart),Wikipedia match,"heart, pain"
SL62,Palpitation disorder,"Palpitations occur when a person becomes aware of their heartbeat. The heartbeat may feel hard, fast, or uneven in their chest. (Source: Palpitations)",Wikipedia match,palpitation
SL6Y,heart disorders,"The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology. (Source: Cardiology)",Wikipedia match,heart
SL6Z,"Heart disorders (TM2),",The heart is a muscular organ found in humans and other animals. This organ pumps blood through the blood vessels. (Source: Heart),Wikipedia match,"heart, (tm2),"
,- - - - Circulatory disorders (TM2),Skipped - Not a specific disease,Skipped,
SL70,Varicose veins disorder,"Their complications can include bleeding, skin ulcers, and superficial thrombophlebitis. (Source: Varicose veins)",Wikipedia match,"varicose, veins"
SL71,Varicose ulcer disorder,"Venous ulcer is defined by the American Venous Forum as ""a full-thickness defect of skin, most frequently in the ankle region, that fails to heal spontaneously and is sustained by chronic venous disease, based on venous duplex ultrasound testing. "" Venous ulcers are wounds that are thought to occur due to improper functioning of venous valves, usually of the legs. (Source: Venous ulcer)",Wikipedia match,"varicose, ulcer"
SL72,Thickened arteries disorder,"An artery is a blood vessel in humans and most other animals that takes oxygenated blood away from the heart in the systemic circulation to one or more parts of the body. Exceptions that carry deoxygenated blood are the pulmonary arteries in the pulmonary circulation that carry blood to the lungs for oxygenation, and the umbilical arteries in the fetal circulation that carry deoxygenated blood to the placenta. (Source: Artery)",Wikipedia match,"thickened, arteries"
SL7Y,circulatory disorders,"In vertebrates, the circulatory system is a system of organs that includes the heart, blood vessels, and blood which is circulated throughout the body. It includes the cardiovascular system, or vascular system, that consists of the heart and blood vessels. (Source: Circulatory system)",Wikipedia match,circulatory
