Sr No.,NAMC_ID,NAMC_CODE,NAMC_term_DEVANAGARI,System,NAMC_TERM2,Tamil_term,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Definition
17,17,SQ00 (AAB-1),अतिप्रलापः (केवलवात),Ayurveda,,,,,,,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties."
18,18,SQ05(AAB-2),अनवस्थितचित्तत्वम् (केवलवात),Ayurveda,,,,,,,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind."
21,21,SP21 (AAB-5),अङ्गविभ्रंशः (केवलवात),Ayurveda,,,,,,,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity."
23,23,SM1P (AAB-7),अरसज्ञता (केवलवात),Ayurveda,,,,,,,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue."
31,31,SK84 (AAB-15),उच्चैःश्रुतिः (केवलवात),Ayurveda,,,,,,,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear."
38,38,SL02 (AAB-22),कण्ठोध्वंसः (केवलवात),Ayurveda,,,,,,,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties."
42,42,SP97 (AAB-26),क्लमः (केवलवात),Ayurveda,,,,,,,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas."
43,43,SN41 (AAB-27),कार्ष्ण्यम् (केवलवात),Ayurveda,,,,,,,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.
45,45,SP61 (AAB-29),कार्श्यम् (केवलवात),Ayurveda,,,,,,,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta."
46,46,SN4C (AAB-30),केशभूमिस्फुटनम् (केवलवात),Ayurveda,,,,,,,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.
49,49,SP45 (AAB-33),ग्रीवास्तम्भः (केवलवात),Ayurveda,,,,,,,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles."
51,51,SM50 (AAB-35),गुदार्तिः (केवलवात),Ayurveda,,,,,,,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.
53,53,AAB-37,गृध्रसी (केवलवात),Ayurveda,,,,,,,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]"
54,54,SK91 (AAB-38),घ्राणनाशः/नासाहुण्डनम् (केवलवात),Ayurveda,,,,,,,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages"
57,57,SP95 (AAB-41),जृम्भा (केवलवात),Ayurveda,,,,,,,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.
65,66,SN60(AAB-49),नखभेदः (केवलवात),Ayurveda,,,,,,,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha."
73,74,SN4R(AAB-57),पारुष्यम् (केवलवात),Ayurveda,,,,,,,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.
77,78,SP42(AAB-61),पृष्ठ-ग्रहः (केवलवात),Ayurveda,,,,,,,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue."
90,91,SM1N(AAB-74),मुखशोषः (केवलवात),Ayurveda,,,,,,,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue."
91,92,SM81(AAB-75),मूत्रनिग्रहः (केवलवात),Ayurveda,,,,,,,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha."
93,94,SN42(AAB-77),रौक्ष्यम् (केवलवात),Ayurveda,,,,,,,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin"
101,102,SK53(AAB-85),वाक्-सङ्गः (केवलवात),Ayurveda,,,,,,,"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech."
113,114,SN03(AAB-97),शुक्रक्षयः (केवलवात),Ayurveda,,,,,,,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system."
115,116,SN07(AAB-99),शेफस्तम्भः (केवलवात),Ayurveda,,,,,,,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.
126,128,SL62(AAB-110),हृद्द्रवः (केवलवात),Ayurveda,,,,,,,It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.
127,129,SL60(AAB-111),हृन्मोहः (केवलवात),Ayurveda,,,,,,,It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.
131,133,AAC-2.1,असाध्य-अपतन्त्रकः,Ayurveda,,,,,,,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma]"
133,135,SK20(AAC-4),अर्दितः,Ayurveda,,,,,,,"It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face."
134,136,AAC-4.1,अर्दित-पूर्वरुपम्,Ayurveda,,,,,,,"the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu]"
135,137,AAC-4.2,असाध्य-अर्दितः,Ayurveda,,,,,,,"the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye]"
137,139,SP00(AAC-6),अस्थिशोषः,Ayurveda,,,,,,,"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha."
138,140,SN08(AAC-7),वाताष्ठीला,Ayurveda,,,,,,,"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system."
139,141,SP15(AAC-8),अवबाहुकः,Ayurveda,,,,,,,"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region."
140,142,SK55(AAC-9),ऊरुस्तम्भः/आढ्यवातः,Ayurveda,,,,,,,"It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism)."
141,143,AAC-9.1,ऊरुस्तम्भ-पूर्वरूपम्,Ayurveda,,,,,,,"the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs]"
144,146,SK30(AAC-11),आक्षेपकः,Ayurveda,,,,,,,"It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties."
145,147,SM31(AAC-12),आध्मानम्,Ayurveda,,,,,,,"It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions."
149,151,SM75(AAC-14),ऊर्ध्ववातः,Ayurveda,,,,,,,"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions."
154,156,SP20(AAC-19),खल्ली,Ayurveda,,,,,,,"It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha."
155,157,SP41(AAC-20),गृध्रसी,Ayurveda,,,,,,,"It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain)."
156,158,AAC-20.1,वातिकगृध्रसी,Ayurveda,,,,,,,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]"
157,159,AAC-20.2,वातकफज-गृध्रसी,Ayurveda,,,,,,,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], tandrā [drowsiness/lassitude], gauravam [heaviness], arōcakaḥ/bhaktadvēṣaḥ [tastelessness/aversion to food], vahnimārdavam [diminution of agni /hypofunction of digestive mechanism], mukhaprasēkaḥ [salivation]"
159,161,SM83(AAC-22),तूनी,Ayurveda,,,,,,,"It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain."
161,163,SK22(AAC-24),पक्षाघात/पक्षवधः,Ayurveda,,,,,,,"It is characterised by loss of mobility or flaccidity of one side of the body. May be associated with difficulty in swallowing, speech, deranged cognitive functions, tactile sensation. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor, sensory and cognitive functions."
162,164,AAC-24.1,कफान्वितपक्षाघातः,Ayurveda,,,,,,,"the disorder is characterized by śaitya [cold on touch on affected side of body], śōtha [oedema], gurutva [heaviness]"
163,165,AAC-24.2,पित्तान्वितपक्षाघातः,Ayurveda,,,,,,,"the disorder is characterized by dāhaḥ [burning sensation], santāpaḥ [burning sensation], mūrcchā [syncope/attacks of swooning]"
168,170,AAC-28,प्रत्यष्ठीला,Ayurveda,,,,,,,"the disorder is characterized by rujaḥ/atyugrarujā [pain/excessive pain], aṣṭhīlāvat ghanaṁ granthi [stony hard round shaped gland], vāta-rōdhanam/vātanirōdhaḥ [obstruction to flatus], viḍ-rōdhanam [obstruction to feces], mūtra-rōdhanam [obstruction in passage of urine], āṭōpaḥ [gurgling sound of the intestines/barborygmus], udarādhmānam [distention of abdomen]"
170,172,SK21(AAC-30),पङ्गुः,Ayurveda,,,,,,,"It is characterised by flaccidity, loss of function in both lower limbs. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor functions."
171,173,SL21(AAC-31),मिन्मिनः,Ayurveda,,,,,,,"It is characterised by hypernasal voice leading to nasal twang. This may be explained by: (a) Obstruction to oral, nasal passages, vitiation of vata."
172,174,AAC-32,मन्यास्तम्भः,Ayurveda,,,,,,,the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck]
173,175,SL07(AAC-33),मूकत्वम्,Ayurveda,,,,,,,It is characterised by inability to speak. This may be explained by: (a) Vatadosha and kaphadosha affecting speech faculties.
174,176,SP40(AAC-34),वातकण्टकम्,Ayurveda,,,,,,,It is characterised by pain in heel especially during walking. This may be explained by: (a) Increased vatadosha affecting the heel.
175,177,SK51(AAC-35),विश्वाची,Ayurveda,,,,,,,"It is characterised by pain in the neck, throat radiating up to the upper limbs, restricted movements. May be associated with, insomnia, temporary loss of hearing, memory. This may be explained by: (a) vitiation of vatadosha, pittadosha affecting neck, upper arms."
176,178,SK52(AAC-36),कम्पः/वेपथुः,Ayurveda,,,,,,,"It is characterised by tremors, rigidity, and may be associated with dryness of the skin and insomnia. This may be explained by: (a) aggravation of vata affecting the motor system."
181,183,SR20(AAD),आवृत-वातः/आवरणवात,Ayurveda,,,,,,,"It is characterised by hampering of the normal functioning of the dosha leading to local or systemic symptoms. This may be explained the occlusion of the free flowing and all-pervading Vata dosha or subtype of it by one another or by Pitta, Kapha, tissues, food and excreta."
183,185,AAD-1.1,प्राणावृतव्यानवातः,Ayurveda,,,,,,,"the disorder is characterized by sarvēndriyāṇāṁ śūnyatva [loss of ability of sense organs], smr̥tikṣayaḥ [loss of memory], balakṣayaḥ [loss of physical strength or weakness]"
184,186,AAD-1.2,व्यानावृतप्राणवातः,Ayurveda,,,,,,,"the disorder is characterized by svēdōऽtyartham [excessive sweating], lōmaharṣaḥ [horripilation], tvagdōṣaḥ [skin diseases], suptagātratā [numbness in the body parts]"
185,187,AAD-1.3,प्राणावृतसमानवातः,Ayurveda,,,,,,,"the disorder is characterized by jaḍatvam [dullness/frigidity/inactiveness], gadgadatvam [stuttering/stammmering], mūkatvam [dumbness/aphasia]"
186,188,AAD-1.4,समानावृत-अपानवातः,Ayurveda,,,,,,,"the disorder is characterized by grahaṇī [derangement of agni situated in grahaṇī], pārśvagadaḥ [pain/disease in flanks], hr̥dgadaḥ [diseases of heart], āmāśayaśūlam [colicky pain in epigastric region]"
187,189,AAD-1.5,प्राणावृत-उदानवातः,Ayurveda,,,,,,,"the disorder is characterized by śirōgrahaḥ [stiffness of head], pratiśyāyaḥ [cold, catarrh], niḥśvāsōcchvāsasaṁgrahaḥ/niḥśvāsōcchvāsasaṁrōdhaḥ [obstruction/restriction to respiration], hr̥drōgaḥ [diseases of heart], mukhaśōṣaḥ [dryness in mouth]"
188,190,AAD-1.6,उदानावृतप्राणवातः,Ayurveda,,,,,,,"the disorder is characterized by karmanāśaḥ [loss of activities], ōjōnāśaḥ [loss of vitality/bodily strength, energy, power], balanāśaḥ [loss of strength], varṇanāśaḥ [loss of lustre/complexion], mr̥tyuḥ [death]"
189,191,AAD-1.7,उदानावृत-अपानवातः,Ayurveda,,,,,,,"the disorder is characterized by chardiḥ [vomiting], śvāsaḥ [breathlessness/difficult breathing]"
190,192,AAD-1.8,अपानावृत-उदानवातः,Ayurveda,,,,,,,"the disorder is characterized by mōhaḥ [semiconsciousness or stupefaction], alpāgniḥ [insufficient digestive power/capacity], atīsāraḥ [diarrhoea]"
191,193,AAD-1.9,व्यानावृत-अपानवातः,Ayurveda,,,,,,,"the disorder is characterized by vamiḥ [vomiting], ādhmānam [abdominal distension], udāvartaḥ [upword movement of vayu due to retention of stool and urine], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], artiḥ [pain], parikartikā [sharp cutting pain in anus]"
192,194,AAD-1.10,अपानावृत-व्यानवातः,Ayurveda,,,,,,,"the disorder is characterized by viṭ-atipravr̥ttiḥ [excessive defecation], mūtra-atipravr̥ttiḥ [excessive micturition], rētas-atipravr̥ttiḥ [excessive semen/ejaculation]"
193,195,AAD-1.11,समानावृत-व्यानवातः,Ayurveda,,,,,,,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], tandrā [drowsiness/lassitude], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], agnikṣayaḥ [diminution of agni (digestive power)], ōjaḥkṣayaḥ [diminution of vitality/body energy/power], balakṣayaḥ [loss of physical strength or weakness]"
194,196,AAD-1.12,उदानावृतव्यानवातः,Ayurveda,,,,,,,"the disorder is characterized by stabdhatā [stiffness], alpāgnitā [insufficient digestive power/capacity], asvēdaḥ [anhidrosis/lack of sweating], cēṣṭāhāniḥ [loss of activities/motor function], nimīlanam [having the eyes closed]"
227,229,AAD-4.2,वर्चसावृतवातः,Ayurveda,,,,,,,"the disorder is characterized by ativibandhaḥ [severe constipation], svē sthānē parikr̥ntati [cutting type of pain in svasthana i.e. rectum/pakvāśaya], vrajatyāśu jarāṁ snēhaḥ [instantaneous digestion of the ingested fat], bhuktē cānahyatē naraḥ [abdominal distention on consumption of food], cirāt pīḍitamannēna duḥkhaṁ śuṣkaṁ śakr̥t sr̥jēt [due to pressure of the undigested food, the patient voids after along time. the voiding is painfull and the stool is dry], śrōṇivaṅkṣaṇapr̥ṣṭhēṣu ruk [pain in the hips, groin, and back], vilōmaḥ mārutaḥ [upward movement of vāyu (flatus or gas) in the abdomen], asvasthaṁ hr̥dayam [discomfort in the cardiac region/heart]"
230,233,AAE-1,कोष्ठाश्रितवातकोपः,Ayurveda,,,,,,,"the disorder is characterized by arśaḥ [hemorrhoids], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], pārśvaśūlam [pain in sides of chest/flanks], bradhnaḥ [inguinal swelling/herniation], mūtranigrahaḥ [retention of urine], varca-nigrahaḥ [retention of faeces], hr̥drōgaḥ [diseases of heart]"
231,234,AAE-2,सर्वाङ्गकुपितवातः,Ayurveda,,,,,,,"the disorder is characterized by gātrasphuraṇam [flickering/twitching in various parts of body], sandhisphuṭanam [bursting type of pain in joints], gātrabhañjanam [feeling as if limbs are being broken], vēdanā-parītaḥ [severe pain], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], sphuraṇam [pulsating sensation], stambhanam [stiffening of body], ākṣēpaṇam [convulsion], sandhi-ākuñcanam [contraction of joint], sandhi-kampanam [trembling of joint]"
232,235,AAE-3,गुदस्थितवातः,Ayurveda,,,,,,,"the disorder is characterized by viḍgrahaḥ [retention of feces], mūtragrahaḥ [obstruction/retention in the passage of urine], vātagrahaḥ [retention of flatus], śūlam [sharp pain in anus], ādhmānam [abdominal distension], aśmarī [urolithiasis], śarkarā [mutiple gravely particles in urine], jaṅghārōgaḥ(rujā) [pain in calf muscles], jaṅghāśōṣaḥ [wasting of calf region], ūrurōgaḥ(rujā) [pain in thighs], ūruśōṣaḥ [wasting of thighs], trik-rōgaḥ(rujā) [pain in sacral iliac region of back], trik-śōṣaḥ [wasting of sacroiliac region of back], pādarōgaḥ(rujā) [pain in legs/feet], pādaśōṣaḥ [wasting of legs], pr̥ṣṭharōgaḥ(rujā) [pain in back], pr̥ṣṭhaśōṣaḥ [wasting of back]"
233,236,AAE-4,आमाशयगतवातः,Ayurveda,,,,,,,"the disorder is characterized by hr̥daya-ruk [pain in the pericordial region/angina pectoris], nābhi- ruk [pain in the umbilical region], pārśvaruk [pain in sides of chest/flanks], udararuk [pain in the abdomen], tr̥ṣṇā [thirst], udgāraḥ [eructation], visūcikā [loose motions and vomitings caused by ama], kāsaḥ [cough], kaṇṭha-śōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śvāsaḥ [breathlessness/difficult breathing], vamathuḥ [vomiting], kaṇṭhōparōdhaḥ [choking sensation of throat/obstruction of throat], nābhērūrdhvavyādhayaḥ [diseases of above nabhi/umbilicus]"
234,237,AAE-5,पक्वाशयगतवातः,Ayurveda,,,,,,,"the disorder is characterized by antrakūjanam [barborygmus/gurgling sound of intestines], śūlaḥ [colicky pain in the abdomen], āṭōpaḥ [gurgling sound of the intestines/barborygmus], mūtrakr̥cchram [dysuria], kr̥cchrapurīṣatvam [diffuculty in passing stool], ānāhaḥ [barborygmus with distention], trikavēdanām [pain in the sacroiliac region], malarōdhaḥ [constipation], aśmarī [urolithiasis], vardhma [herniation], arśas [haemorrhoids], trikagraham [stiffness of sacroiliac region], pr̥ṣṭhagraham [stiffness of back], kaṭigraham [stiffness of low back]"
235,238,AAE-6,श्रोत्रादीन्द्रियगतवातः,Ayurveda,,,,,,,the disorder is characterized by indriyavadham [impairment of the functions of sense organs]
236,239,AAE-7,त्वक्^-गतवातः,Ayurveda,,,,,,,"the disorder is characterized by tvak-rūkṣatvam [dryness of skin], tvak- sphuṭitā [cracking of skin], tvak-suptatvam [numbness in skin], tvak-kr̥śatvam [thining of skin/skin atrophy], tvak- kr̥ṣṇatvam [blackening of skin], tudyatē/nistōdanam [pricking pain in skin], ātanyatē sarāgā [stretching and redness of skin], parvaruk [pain in small joints], cumacumāyanam [skin irritation as if application of mustard paste], tvagbhēdam [cracking of skin], vaivarṇyam [discolouration], paripōṭanam [scaling of skin]"
237,240,AAE-8,असृग्गतवातः/रक्तगतवात,Ayurveda,,,,,,,"the disorder is characterized by rujastīvrāḥ [acute pain], sasantāpāḥ [with burning sensation], vaivarṇyaṁ [discolouration], kr̥śatā [emaciation], aruciḥ [tastelessness], gātrē cārūṁṣi [appearance of rash/scabs on the body], bhuktasya stambhaḥ gātrē [stiffness of the body after taking food], svāpam [sleepiness/numbness], rāgam [redness/congestion], annasya viṣṭambhaḥ [indigestion of food], bhramaḥ [giddiness or dizziness], vraṇaḥ [wound/ulcer/sore]"
238,241,AAE-9,मांसगतवातकोप,Ayurveda,,,,,,,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], saśūla-granthiḥ [glandular swelling with pain]"
239,242,AAE-10,मेदोगतवातः,Ayurveda,,,,,,,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], mandaruk [mild pain], avraṇa-granthiḥ [glandular swelling without ulcer]"
240,243,AAE-11,अस्थिगतवातः,Ayurveda,,,,,,,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk [constant pain], sakthiśūlam [pain in thighs], sandhisaśūlam [pain in joints], asthiśūlam [pain in the bones], tīvraṁ balakṣayam [severe loss of physical strength], asthiśōṣaḥ [diminution of asthi/osteoenia/osteoporosis]"
